Reporting Parent Railroad Code,Employee Man Hours
SGSC,699124.0
SH,390593.0
SIND,83725.0
SIRE,4386.0
SIRH,7450.0
SIRS,20369.0
SJR,0.0
SJVR,1727373.0
SKOL,2658447.0
SL,12031.0
SLAL,108235.0
SLC,159441.0
SLGG,104093.0
SLGW,76117.0
SLOI,14433.0
SLR,987839.0
SLRG,548758.0
SLRS,960944.0
SLWC,1489609.0
SM,78562.0
SMA,114694.0
SMAR,1095.0
SMRR,22824.0
SMRS,0.0
SMRT,1629035.0
SMV,168684.0
SMW,54553.0
SNC,175871.0
SNCX,636887.0
SNJX,2119857.0
SNR,3031.0
SNVX,72828.0
SNY,225090.0
SOM,0.0
SPOR,0.0
SPP,5006.0
SPRX,3363.0
SPSR,30025.0
SPV,12807.0
SQSC,24636.0
SQVR,32051.0
SRC,1412466.0
SRN,450360.0
SRNJ,85630.0
SRRI,11381.0
SRRR,119817.0
SS,162071.0
SSC,72252.0
SSP,30340.0
STE,158040.0
STMA,155586.0
STNX,9471.0
STPP,108872.0
STR,142.0
STRT,7450.0
STS,36971.0
SUVX,30283.0
SV,31083.0
SVHO,73533.0
SVIZ,0.0
SVRR,15986.0
SVTX,100712.0
SW,1323497.0
SWGX,18831.0
SWP,330427.0
TASD,2232838.0
TBRB,0.0
TBRY,11762.0
TC,257009.0
TCRM,11209.0
TCRY,255897.0
TESR,103358.0
TEVR,24468.0
TEXR,43054.0
TFG,0.0
TIBR,724166.0
TIOC,57653.0
TIR,19707.0
TKEN,151844.0
TLEW,4966.0
TMBL,1926834.0
TMEV,229514.0
TN,606422.0
TNHR,65197.0
TNMR,263033.0
TNTX,273381.0
TPMO,979557.0
TPR,245173.0
TPW,858493.0
TR,453857.0
TRC,522191.0
TREX,62958.0
TRMW,91302.0
TRRA,4890298.0
TRRJ,38599.0
TSE,27449.0
TSR,125326.0
TSRR,575887.0
TSU,150558.0
TSWS,1264603.0
TTR,596568.0
TVRM,898101.0
TXGN,664506.0
TXN,422646.0
TXNW,970040.0
TXOR,72333.0
TXPF,542410.0
TXR,239195.0
TXTX,131992.0
TYBR,51212.0
TZPR,920611.0
UCIR,51992.0
UCRY,613366.0
UCSV,66.0
UCTR,20116.0
UFRC,2306416.0
UMP,57781.0
UP,907842207.0
URR,6284058.0
USAR,461.0
USR,7710.0
USRP,20040.0
USRS,2458.0
UTAH,1259166.0
UTAX,0.0
VALE,1101928.0
VCRR,76411.0
VR,124073.0
VREX,3300607.0
VRRC,4408.0
VSOR,357485.0
VSR,62607.0
VTAZ,601676.0
VTR,2277342.0
VTRR,189070.0
VTRW,49542.0
VVRR,39816.0
WACR,384500.0
WAKS,0.0
WATX,1953020.0
WBCR,63474.0
WBRW,78901.0
WCKR,44467.0
WCLR,212.0
WCOR,167909.0
WCRL,32597.0
WCTR,8268.0
WE,9688001.0
WER,67237.0
WEST,42230.0
WFA,26736.0
WFS,0.0
WGCR,68735.0
WGNS,317592.0
WGSH,335114.0
WHOE,10605.0
WHRR,4699.0
WIR,143710.0
WKRL,0.0
WMI,5842.0
WMSR,274396.0
WN,557510.0
WNRR,0.0
WNYP,1094976.0
WOPR,23686.0
WRL,53165.0
WRM,48970.0
WRRC,470837.0
WS,27000.0
WSOR,4676143.0
WSR,11661.0
WSRY,73746.0
WSS,500271.0
WTA,357022.0
WTJR,252892.0
WTLC,168457.0
WTNN,527505.0
WTRM,353.0
WTRY,223193.0
WURR,23243.0
WVC,464022.0
WVR,59004.0
WVRR,85345.0
WW,1117451.0
WWR,25257.0
WWRC,204530.0
XAAL,178155.0
XADB,4185.0
XALV,48477.0
XASN,6910.0
XTGS,2412531.0
YARR,9572.0
YB,194644.0
YCR,33370.0
YRC,475760.0
YSRR,166789.0
YSVR,125630.0
YVRR,380691.0
YW,12449.0
ZIOF,712205.0
ZWSX,0.0
ZZCA,133813.0
